Date,Open,High,Low,Close,Adj Close,Volume
2015-04-09,3.463290,3.474500,3.455820,3.474500,2.560330,8312594
2015-04-10,3.474500,3.474500,3.459550,3.463290,2.552069,5239268
2015-04-13,3.455820,3.463290,3.448340,3.452080,2.543809,8744873
2015-04-14,3.455820,3.463290,3.448340,3.459550,2.549313,4835898
2015-04-15,3.448340,3.459550,3.429660,3.444610,2.538304,10378431
2015-04-16,3.444610,3.467020,3.440870,3.463290,2.552069,11010655
2015-04-17,3.474500,3.474500,3.459550,3.463290,2.552069,15610205
2015-04-20,3.463290,3.526800,3.444610,3.526800,2.598870,8924208
2015-04-21,3.504380,3.534270,3.470760,3.493180,2.618645,6109446
2015-04-22,3.493180,3.493180,3.463290,3.463290,2.596238,8684381
2015-04-23,3.463290,3.478230,3.437140,3.455820,2.590639,5997562
2015-04-24,3.474500,3.474500,3.440870,3.467020,2.599034,2352772
2015-04-27,3.467020,3.467020,3.448340,3.455820,2.590639,12400905
2015-04-28,3.485700,3.485700,3.429660,3.455820,2.590639,7907350
2015-04-29,3.452080,3.455820,3.399780,3.407250,2.554228,8896103
2015-04-30,3.407250,3.448340,3.384830,3.384830,2.537421,14541152
2015-05-05,3.414720,3.414720,3.384830,3.407250,2.554228,7270308
2015-05-06,3.407250,3.414720,3.377360,3.407250,2.554228,7291721
2015-05-07,3.384830,3.414720,3.340000,3.340000,2.503814,10386728
2015-05-08,3.358680,3.388570,3.354940,3.373620,2.529017,18209497
2015-05-11,3.381090,3.381090,3.354940,3.369890,2.526221,11866646
2015-05-12,3.366150,3.366150,3.336260,3.343730,2.506611,12058294
2015-05-13,3.343730,3.388570,3.321320,3.377360,2.531821,12709522
2015-05-14,3.358680,3.392300,3.340000,3.369890,2.526221,13933821
2015-05-15,3.392300,3.392300,3.343730,3.377360,2.531821,2523275
2015-05-18,3.362420,3.373620,3.332530,3.358680,2.517818,10105680
2015-05-19,3.392300,3.392300,3.332530,3.343730,2.506611,2640779
2015-05-20,3.362420,3.362420,3.336260,3.340000,2.503814,24284147
2015-05-21,3.358680,3.358680,3.325050,3.340000,2.503814,7622822
2015-05-22,3.354940,3.354940,3.231650,3.269020,2.450605,23272375
2015-05-25,3.265280,3.265280,3.175610,3.186820,2.388984,10931158
2015-05-26,3.190560,3.283960,3.175610,3.201770,2.400192,15636971
2015-05-27,3.201770,3.201770,3.164410,3.171880,2.377784,13151705
2015-05-28,3.194290,3.194290,3.127050,3.171880,2.377784,15031781
2015-05-29,3.175610,3.175610,3.089690,3.108370,2.330174,33812743
2015-06-01,3.112100,3.138250,3.085950,3.100890,2.324567,6010143
2015-06-02,3.119570,3.156930,3.093420,3.119570,2.338570,9185717
2015-06-03,3.138250,3.224180,3.138250,3.224180,2.416991,10966490
2015-06-04,3.212980,3.269020,3.194290,3.216710,2.411391,13407057
2015-06-05,3.250330,3.250330,3.186820,3.216710,2.411391,8469714
2015-06-08,3.212980,3.231650,3.190560,3.216710,2.411391,5044944
2015-06-09,3.212980,3.220450,3.198030,3.212980,2.408594,5472940
2015-06-10,3.220450,3.231650,3.175610,3.186820,2.388984,7929031
2015-06-11,3.212980,3.212980,3.183090,3.194290,2.394584,8795729
2015-06-12,3.209240,3.220450,3.194290,3.205500,2.402987,11425267
